iteration,added_feature,R2,MAE_linear,AIC
77,vwv_300_av_log,0.5968307838215591,426.57120983767777,-708.8132758473974
78,wSdir_7_av,0.5970708400978929,426.40824305559573,-707.511915191724
79,wdi_500_av,0.5973071425665376,426.87163489653506,-706.2000364140958
80,wdir10_av,0.5975779689442644,426.74711747257766,-704.9891892607204
81,BLH_m_rt,0.5977942239136436,427.2180952782944,-703.6197095657311
82,vwv_700_av,0.5980268955554082,427.1511683045901,-702.2984735820785
83,LiftIdx_av_log,0.5981425933798021,427.33057354894197,-700.6361406576203
84,wdi_850_av,0.5982307137679772,427.36302449870294,-698.8933875028607
85,rh_850_av,0.5983175740509801,427.3662036999489,-697.1470109896607
86,land_use,0.5983962486936591,427.39779050830884,-695.3767805506732
87,vwv_850_av_log,0.5984524153616227,427.21128209141585,-693.5408430347408
