duration_p,wv100_k_av,8_ny_fir_p,3_8y_fir_p,f_load_av,f_start,FWI_12h_av,row_id,ros_p,SHAP_duration_p,SHAP_wv100_k_av,SHAP_8_ny_fir_p,SHAP_3_8y_fir_p,SHAP_f_load_av,SHAP_f_start,SHAP_FWI_12h_av
1.0,20.278356196226486,24.95088408644401,0.0,17.075312500000003,60.0,75.31860848913871,12,1950.727816,0.99554276,0.11222236,0.53585595,-0.4535933,-0.533737,0.5285076,0.67951334
1.0,19.497922690939312,79.69283276450511,0.0,16.386697860962567,120.0,72.66116103329182,13,3860.58731,0.9415188,0.14696777,0.12382622,-0.3748451,-0.4123882,0.2685507,0.8573418
1.0,21.89698311143767,61.98830409356725,0.0,17.06390243902439,180.0,73.29777479601674,14,165.888683,0.995186,0.3042749,0.52969277,-0.44477198,-0.62591743,0.11022087,0.61475974
1.0,20.538956280404598,71.03641456582633,2.072829131652661,16.424627192982456,180.0,70.64768591446119,15,3011.595163,1.048104,0.18445583,0.5242972,0.9692103,-0.34459525,0.11423261,0.8264611
1.0,23.400982732703095,84.03361344537815,0.0,17.19939393939394,240.0,75.71699720493586,16,203.851432,0.95001084,0.431317,0.013675183,-0.38671863,-0.4586082,0.03817239,0.8030525
1.0,22.0869476485749,0.0,0.0,16.69518181818182,240.0,70.01648445234903,17,1536.150322,0.9935726,0.36887857,-0.2649561,-0.438609,-0.5896371,0.07627336,0.6776034
1.0,22.236310162667646,42.45762711864407,2.457627118644068,16.613963963963965,240.0,70.3861324621139,18,2056.620712,1.1290607,0.4699568,0.5635175,0.9592551,-0.39485314,0.1770391,0.80985236
1.0,22.088057640420505,39.90339959130596,3.6968233327141,16.14262945527909,300.0,70.09128780287604,21,4422.763007,1.141298,0.45890638,0.54512835,0.9424649,-0.41587344,0.13260856,0.87271786
1.0,21.52681539352559,41.721672167216724,8.388338833883388,16.18648936170213,360.0,52.786909397151106,22,3255.471545,1.1197637,0.5027949,0.6602571,0.81688905,-0.33843422,-0.090586364,0.5385011
1.0,22.006712043441578,97.14285714285714,0.0,17.883333333333336,360.0,58.82113400432374,23,164.794276,0.9895294,0.50150913,-0.26333728,-0.35981402,-0.15600975,-0.17420876,0.29532534
1.0,22.458206686368953,100.0,0.0,16.69,360.0,52.555006434622754,24,121.858644,0.8939753,0.5529711,-1.0633976,-0.4006455,-0.70886374,-0.29112703,0.272054
1.0,21.48172259142146,3.451776649746193,0.0,18.214561403508775,360.0,52.89075567194509,25,1108.693429,1.0602701,0.5470295,0.3458629,-0.3816339,0.15743148,-0.15279894,0.423272
1.0,20.3987693652489,100.0,0.0,16.69,420.0,41.925270803711605,26,98.126123,0.78996485,-0.07258498,-1.1528939,-0.39210513,-0.6876005,-0.3237245,-0.12498752
1.0,20.39434901985616,27.23152022315202,5.264993026499303,16.76742934051144,420.0,35.27347044129198,27,1626.801698,0.9785,0.13167486,0.76459557,0.6683249,-0.35980037,-0.121347874,-1.2028226
1.0,20.3987693652489,100.0,0.0,15.406250000000002,420.0,41.925270803711605,28,111.056041,0.78484005,-0.08631573,-1.1075408,-0.351513,-0.75319093,-0.3369389,-0.14063783
1.0,20.90696519376567,100.0,0.0,16.69,420.0,33.778225804581545,29,101.3074,0.7129915,0.0141473105,-1.1389312,-0.28160155,-0.6091228,-0.3424884,-1.0389872
1.0,20.29444399674819,42.36363636363637,0.0,19.308490566037737,420.0,35.57364221492831,30,1345.493034,0.9012974,0.16749604,0.6549095,-0.23325397,0.23671298,-0.18972062,-1.0269595
1.0,18.782212471455487,38.17733990147783,7.881773399014778,17.04642857142857,480.0,35.05844168413655,31,1004.032442,0.95752424,0.18106264,0.7443011,0.62422997,-0.31025672,-0.17232622,-1.2171208
1.0,18.38133875279946,94.73684210526315,0.0,11.680000000000001,480.0,41.925270803711605,32,124.158839,0.8324526,0.0029068226,-0.19269195,-0.3430746,-0.75180566,-0.3183399,-0.13088
1.0,18.994759320485148,84.61538461538461,15.384615384615385,16.52714285714286,480.0,33.88477780524214,33,104.849056,0.7869586,0.08530188,-0.25770178,-0.054006133,-0.33338916,-0.39467895,-1.3034831
1.0,18.56772664599334,36.74698795180723,0.0,17.94230215827338,480.0,35.63321981370281,34,1154.059286,0.8957747,0.14803624,0.66962945,-0.26231202,0.06940644,-0.18663701,-0.7188892
