,mean,median,std,var,q05,q25,q75,q95,min,max,AIQ,skewness,kurtosis,n_zeros,n_negative,normality_p,n_unique,mode,mode_freq,mode_pct,n_missing,pct_missing,corr_ros_p,R2_ros_p,VIF,var_type
elev_av,5.890457512204786,6.041845130516429,0.7628699363887058,0.581970539845708,4.387697866456364,5.497054918066201,6.45364087083831,6.814099647424095,1.554515474114667,7.331714126362371,0.9565859527721088,-1.129986111396121,1.493335737614315,0.0,0.0,9.30763023092526e-129,,,,,0.0,0.0,-0.09785426512227823,0.009575457202621117,1.0096680330392216,numeric
enddoy,164.96228369508194,208.833333,109.54386789739996,11999.858993923015,-1.0,-1.0,249.19791650000002,289.125,-1.0,290.166667,250.19791650000002,-0.6441991866452619,-1.186429331505633,0.0,942.0,0.0,,,,,0.0,0.0,0.2509546716318023,0.06297824721382572,1.0672110834423683,numeric
f_load_av,2.8973541199545,2.902122371595637,0.3099492169549565,0.0960685170909907,2.442347035369204,2.809484652498961,3.08150162955478,3.277144732992177,-0.693147180559945,3.545874759696932,0.2720169770558192,-2.7987765951450068,16.99376839927741,0.0,1.0,0.0,,,,,14.0,0.4172876304023845,0.013245961966556738,0.00017545550841946764,1.000175486298457,numeric
fid,69.57138599105812,47.0,45.69585111256113,2088.110808901354,10.0,37.0,93.0,158.0,1.0,164.0,56.0,0.790697424793387,-0.6056481058357455,0.0,0.0,8.128242009938493e-85,,,,,0.0,0.0,0.08053308531241755,0.006485577829937124,1.0065279151315902,numeric
fire_rank,-0.19672131147540983,0.0,0.9901367990669252,0.9803708808664967,-1.0,-1.0,0.0,2.0,-3.0,2.0,1.0,0.9785806780265582,-0.0171602087689946,1020.0,1657.0,1.398924884659685e-84,,,,,0.0,0.0,-0.25390199630341365,0.06446622372685867,1.068908494125857,numeric
gT_5_3_av,,,,,,,,,,,,,,0.0,0.0,,,,,,3355.0,100.0,,,,numeric
gT_7_5_av,,,,,,,,,,,,,,0.0,0.0,,,,,,3355.0,100.0,,,,numeric
gT_8_7_av,,,,,,,,,,,,,,0.0,0.0,,,,,,3355.0,100.0,,,,numeric
gT_9_8_av,-0.33409340981689034,0.025654174922861,1.3456776156478871,1.8108482452557826,-2.011254814206006,-0.769655437829571,0.4639973835865825,0.9013392437170729,-7.308012282391678,1.25963799436454,1.2336528214161535,-2.9603218883838687,12.820276910048133,0.0,27.0,1.4968359862417285e-13,,,,,3300.0,98.36065573770492,0.05418152549971009,0.0029356377054757343,1.0029442810479356,numeric
gT_s_9_av,1.3743626231449635,1.582200817957636,1.388959129046944,1.9292074621628454,-0.9621957513409971,0.816869714544059,2.3728284889385955,3.1748636690353016,-4.562073116237816,3.679657662399988,1.5559587743945364,-1.3721642533403708,2.999798879585498,0.0,33.0,5.480962664411692e-16,,,,,3112.0,92.75707898658719,-0.10161100940824218,0.01032479723296188,1.0104325107915149,numeric
gp_300_av,11.452209193482537,11.4526297650837,0.0077027646987437755,5.933258400421329e-05,11.440933271617531,11.446910877435492,11.457684160983636,11.465001669162632,11.429639842902922,11.472819847904942,0.010773283548143553,0.04698788276213232,-0.5777738664236254,0.0,0.0,2.3416437453161095e-11,,,,,1657.0,49.38897168405365,7.725050106250795e-05,5.967639914408543e-09,1.00000000596764,numeric
gp_500_av,10.959678221408467,10.960127758095792,0.00820632165073322,6.73437150352928e-05,10.946991978417024,10.953846028280278,10.965503304947983,10.973006790069615,10.92901420285969,10.979573080608626,0.011657276667705219,-0.22954448738444325,-0.018361658761894883,0.0,0.0,0.0006585470648819736,,,,,1657.0,49.38897168405365,-0.019365584923297156,0.0003750258794214341,1.0003751665765968,numeric
gp_700_av,10.348482065196482,10.349298807590486,0.010505379936345512,0.00011036300760697083,10.326828369396091,10.343961868563502,10.353666547889139,10.365153186519084,10.303515346614038,10.375996910893427,0.00970467932563679,-0.7954792525079107,1.6142202678457114,0.0,0.0,2.385003529127364e-45,,,,,1657.0,49.38897168405365,0.016967502126146856,0.0002878961284007981,1.0002879790364505,numeric
gp_850_av,9.62679350800234,9.628674132461708,0.015204061591924316,0.00023116348889102816,9.593235438197922,9.620649990936734,9.635271934608689,9.648726313761754,9.568770308217758,9.669781103915184,0.014621943671954796,-0.9047492692081348,1.7364192260809794,0.0,0.0,1.3523866819752392e-53,,,,,1657.0,49.38897168405365,0.06103518612823518,0.0037252939457083118,1.0037392236529443,numeric
gp_950_av,8.645226023860634,8.645993430967582,0.040091468653570744,0.0016073258588002457,8.574550270594063,8.616595398614953,8.677281454392391,8.705070012167354,8.527448772318815,8.763559844547087,0.06068605577743824,-0.2745056547440672,-0.28804826249088533,0.0,0.0,6.344291130727171e-07,,,,,1657.0,49.38897168405365,0.0430551277713412,0.0018537440274065161,1.0018571867763009,numeric
gp_m2s2_av,8.240650355801327,8.535807993282555,0.7552837976147365,0.5704536149393383,6.3925766767731105,7.932330431328954,8.708101000136065,8.990115408999008,4.815800316332414,9.303405940998177,0.7757705688071104,-1.7903769290291287,3.2371471592499184,0.0,0.0,1.8986835693146246e-126,,,,,1657.0,49.38897168405365,-0.12269399511000284,0.015053816436053401,1.0152838974222758,numeric
growth_rat,95.08570007660208,1.25,301.37436482139117,90826.50777149698,-1.0,-1.0,48.84375,464.97499999999843,-1.0,4430.0,49.84375,6.109107586502138,49.25369326877724,0.0,1640.0,0.0,,,,,0.0,0.0,0.5702563798592521,0.32519233877017967,1.4819037445092496,numeric
id,1686.655737704918,1689.0,972.3882808870716,945538.9688065144,168.70000000000002,846.5,2528.5,3199.2999999999997,1.0,3367.0,1682.0,-0.005753208745332946,-1.198281040514244,0.0,0.0,0.0,,,,,0.0,0.0,0.1305982363990189,0.017055899350534028,1.0173518507708266,numeric
inidoy,115.40009107451564,169.083333,117.46369369488477,13797.719336445713,-1.0,-1.0,226.6006945,288.958333,-1.0,289.875,227.6006945,0.13315952102609555,-1.7712055355286078,0.0,1640.0,0.0,,,,,0.0,0.0,0.25273676952982815,0.06387587467237348,1.068234407109226,numeric
