,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
CircVar,0.032555960560106005,0.09292951531294229,0.0873291589765738,-0.3048434275377153,-0.29551507402596877,217.7950961244661,,10.127029808819826,0.648025395719519,,0.046353074226313816,0.005122035911134,1.7158046e-08,,,,,,,743,108,0.0,743.0,851,,0.0,7.022092827292756e-110,502.67059786438267,87.3090481786134,12.690951821386603,0.0,87.3090481786134,,0.0,0.000576514631797,0.033132475191903,0.648025378561473,,0.0037036695652629343,6.534892243509063e-41,0.5140060999499892,3.135318685140295,0.10095472256784531,0.010191856008750614,1.0956852734318179,numeric
DC_12h_av,0.30471708674056064,0.022454537098032617,0.02399591189038826,0.14984838036506307,0.1549061389693393,4.301548215714857,,9.082413369242783,7.066318229520562,,6.59162334980058,6.63915246150774,4.369990928120628,,,,,,,851,0,0.0,851.0,851,,0.0,2.714804935434452e-82,375.62651504338487,100.0,0.0,0.0,100.0,,0.0,6.445289071114007,6.750006157854568,2.6963273013999345,,0.009719689662883887,9.7447365516245e-24,0.8940495032349404,-1.7798434728748815,0.28354185658999076,0.0803959844384989,1.024585872316237,numeric
EL_m_av,0.20700073789162632,0.03665288596625809,0.03940291058240658,0.19144943448926166,0.198501663928559,15.250616232962184,,11.872077765383782,2.314502159965623,,2.024756709452042,2.102513794205,0.676310241515799,,,,,,,78,773,0.0,78.0,851,,0.0,1.0721023436970216e-17,78.148650105881,9.16568742655699,90.83431257344301,0.0,9.16568742655699,,0.0,1.967240467334841,2.1742412052264672,1.6381919184498241,,0.0349633419748688,3.5398444304737395e-13,0.6044663729671642,-3.2968506730369596,0.30878787540968405,0.09534995200002656,1.0410191858964473,numeric
FFMC_12h_a,0.028395053888820243,0.01029894916110035,0.009936079313015976,0.1014837384071968,0.09967988419443502,0.6288789180054385,,6.956845580426961,4.601642947469081,,4.546818677301527,4.552763476331131,4.333409012698437,,,,,,,851,0,0.0,851.0,851,,0.0,7.450148177519157e-80,364.3971470354602,100.0,0.0,0.0,100.0,,0.0,4.535034580267965,4.563429634156785,0.2682339347706444,,0.0009801891510280171,2.402594804292486e-25,0.8772952901059781,-1.86075176081552,0.028593984101483033,0.0008176159267958645,1.0100357957758137,numeric
FWI_12h_av,0.314276600045444,0.03454584593578076,0.036451626017084675,0.18586512834789842,0.19092308927179205,6.487444314067371,,4.068379547399111,4.48060902551117,,3.8715401837543455,3.886320434616001,2.24041443309043,,,,,,,851,0,0.0,851.0,851,,0.0,1.6530533411507814e-39,178.59638907830163,100.0,0.0,0.0,100.0,,0.0,3.734971717114889,4.049248317160333,2.2401945924207403,,0.00860979149687776,6.2391069908281e-15,0.95780046810994,-0.9399932935723518,0.25116401351780476,0.063083361686372,1.0378306133883124,numeric
HDW_av,1.070561054012794,0.1619870051309334,0.1591852843509618,0.4024760926203361,0.39898030571816673,8.870271286563872,,0.8815828846337359,11.617765306038063,,9.936179108106444,10.10695341015588,6.243073259186341,,,,,,,851,0,0.0,851.0,851,,0.0,6.11420320729613e-24,106.90285554509903,100.0,0.0,0.0,100.0,,0.0,9.483658170840718,10.554219224853512,5.374692046851722,,0.03021283881905565,2.4157033605526543e-17,0.9443711278231949,-0.9297565701443203,0.8813660424079242,0.7768061007098068,1.1893226669184591,numeric
Haines_av,,,0.001984669106608721,,0.04454962521288727,,0.29359128421803105,,,1.0,,,,4.0,2.0,44.0,5.170387779083431,807.0,94.82961222091657,851,0,,,851,2.0,,,,100.0,0.0,,,0.23501762632197415,,,,,0.29359128421803105,,,,,,,1.0019886158510534,categorical
HigCC_p_av,2.7815846494757475,0.009640814855812856,0.009475047947678273,0.09818765123890506,0.09733985796002721,126.87590193002694,,-0.9799282513669518,4.61512051684126,,1.3411914384812427,0.021033185866653,0.0,,,,,,,851,0,0.0,444.0,851,,407.0,7.991107005266133e-52,235.31219107332976,100.0,0.0,0.0,52.17391304347826,,47.82608695652174,0.0,2.7815846494757475,4.61512051684126,,0.05833176734607745,6.492349017719143e-34,0.7504510170415841,0.797669329304285,1.7016487341813789,2.8956084145410887,1.0095656832551734,numeric
LCL_hPa_av,0.1739446921809913,0.10296506094378326,0.10006775184840273,-0.3208816930642558,-0.3163348729564964,1.6618020276471417,,-0.8388143739082632,6.87036872721411,,6.632015322537917,6.637820171075841,6.329997542458134,,,,,,,851,0,0.0,851.0,851,,0.0,2.098527930084442e-19,86.0157613072738,100.0,0.0,0.0,100.0,,0.0,6.547553163690601,6.7214978558715925,0.5403711847559762,,0.0037779832266701665,4.931864281523045e-09,0.9811156222752788,-0.14651817877690188,0.11021096510380424,0.012146456829111956,1.1111947616655982,numeric
LFC_hPa_av,0.4297531005451143,0.003956273687898444,0.004188028584820057,0.06289891642865117,0.06471497960148065,3.6465069615957786,,-0.3697474283565998,6.85751406254539,,6.636324256461894,6.783138275817763,5.738572543512364,,,,,,,470,381,0.0,470.0,851,,0.0,8.147325219242458e-12,51.066662873002365,55.229142185663925,44.770857814336075,0.0,55.229142185663925,,0.0,6.398227943598598,6.827981044143712,1.1189415190330267,,0.011162352057352228,6.03736084388223e-23,0.8131227952588016,-0.8796845429870265,0.24199402600595224,0.05856110862256949,1.0042056419334549,numeric
