,mean,median,std,var,q05,q25,q75,q95,min,max,AIQ,skewness,kurtosis,n_zeros,n_negative,normality_p,n_unique,mode,mode_freq,mode_pct,n_missing,pct_missing,corr_ros_p,R2_ros_p,VIF,var_type
VentIdx_av,108.39321229508452,109.7461455719816,31.595100177332196,998.2503552156569,62.05441633813348,86.11613227376847,125.7241102160063,167.19711004784108,15.272256751896645,202.2971159403231,39.607977942237824,0.3815349496999745,0.1194739875545987,0.0,0.0,0.009384362107519402,,,,,0.0,0.0,0.37308352557986574,0.13919131705910234,1.1616983190545478,numeric
aspect_av,195.13713322214826,203.33652663314166,99.25569645959114,9851.693279678491,29.12394051364606,112.06024680848428,287.30957789456085,336.32214448475645,0.868925009172489,357.07411952590627,175.24933108607655,-0.25574085696292304,-1.0943178665575701,0.0,0.0,7.353669895485234e-28,,,,,0.0,0.0,0.19270236176791594,0.03713420023093275,1.0385663300533043,numeric
d_2m_C_av,2.865172355205568,3.114792775917172,0.9722234668001497,0.9452184693969018,1.5533763792428503,2.495436508737625,3.4670772079449734,3.8518969457301253,-1.748415746877243,4.213006072392446,0.9716406992073483,-2.3511796391892665,7.492837673092854,0.0,12.0,3.4063043577830895e-46,,,,,0.0,0.0,-0.04562368877144909,0.0020815209771140497,1.0020858627441713,numeric
dfmc_av,2.934080828731965,2.858193685198311,0.4455795782766906,0.19854116057723342,2.3740143707813104,2.588941396759823,3.1536607754951156,3.865355236802838,2.038634240643098,4.313607704795084,0.5647193787352927,0.7989491311497842,0.32442260770536135,0.0,0.0,2.5296045454843175e-08,,,,,0.0,0.0,-0.12876090533460166,0.01657937074258625,1.0168588803705545,numeric
duration_p,2.588758697916667,1.5,2.8739665987701932,8.259684010846714,0.5,1.0,2.7083335,10.0,0.166667,14.0,1.7083335000000002,2.096547646253851,3.747733691662069,0.0,0.0,1.3084766430755573e-36,,,,,0.0,0.0,-0.3830376382597082,0.14671783232357508,1.1719452695502859,numeric
elev_av,20.267797064208732,20.99745232604794,6.653647992110073,44.2710316029104,8.338941249280014,15.395496594501788,25.929809180534274,29.42623606955917,4.974016812233423,35.04013574771482,10.534312586032486,-0.2915788520934713,-0.8361111061328774,0.0,0.0,1.6373528647984791e-09,,,,,0.0,0.0,-0.2755355271983458,0.07591982674847035,1.082157186081954,numeric
enddoy,235.35472727083334,229.65625,33.90583497366636,1149.6056452614966,182.895833,212.713542,258.89062525,288.916667,149.739583,289.041667,46.17708325000004,0.13758838075619345,-0.7616406757619929,0.0,0.0,2.0323441501026027e-06,,,,,0.0,0.0,0.2011336308361708,0.04045473745334104,1.0421603222196867,numeric
f_load_av,4.376610402734074,4.369109883060648,0.4977113705936729,0.24771660841823237,3.6796934819544473,4.0853396431631,4.688847871607897,5.1398459022339384,1.48884742894182,5.486786635746546,0.603508228444797,-1.3045652345178318,6.059181260200267,0.0,0.0,2.8576298520965046e-28,,,,,0.0,0.0,-0.0336540024253398,0.001132591879244777,1.0011338760981054,numeric
f_start,110.09375,60.0,142.72986247557884,20371.81364229765,0.0,0.0,180.0,376.9999999999993,0.0,845.0,180.0,1.8001356209804138,4.124858219580196,159.0,0.0,7.28262723112967e-33,,,,,0.0,0.0,0.16886452840151434,0.028515228952265843,1.0293522140563383,numeric
gT_5_3_av,-2.7534286299715007,-2.762740217344869,0.09956158380929721,0.009912508970615711,-2.9003735047610455,-2.8339105242666416,-2.6738169275358095,-2.60759378074926,-2.953378162376616,-2.37443348837849,0.16009359673083212,0.4095001389564141,-0.015441636079589482,0.0,384.0,0.005859395999171202,,,,,0.0,0.0,0.17691630582565027,0.03129937926699501,1.0323106836076053,numeric
gT_7_5_av,-2.6466965566500495,-2.646368322641106,0.15996509544239715,0.025588831759895226,-2.923947579663674,-2.7296608118765557,-2.5412121246779513,-2.3934381078509146,-3.102107399759796,-1.968608386466774,0.18844868719860441,-0.13164599957564396,0.6560573551450677,0.0,384.0,0.05100595960947373,,,,,0.0,0.0,0.013841021463246983,0.00019157387514606364,1.0001916105827278,numeric
gT_8_7_av,-2.7104973891353814,-2.74043759932974,0.32207103226724615,0.10372974982568951,-3.14140062438611,-2.999498439165111,-2.5258690294023696,-2.119667722066444,-3.24105628431526,-1.628661615709618,0.47362940976274137,0.656041365734292,-0.08502525222390211,0.0,384.0,6.009222776346554e-06,,,,,0.0,0.0,-0.22255032554536056,0.04952864740034596,1.0521095636021844,numeric
gT_9_8_av,-2.5654717249597425,-2.8983532648053663,0.8763826938897581,0.7680466261494694,-3.224339866006515,-3.102827654682052,-2.2765693640651867,-0.9564767722023901,-3.317417150485459,1.623875834870022,0.8262582906168654,2.5644675881526093,7.649629572588754,0.0,371.0,2.2106841054420534e-49,,,,,0.0,0.0,-0.04329377688782859,0.0018743511172130808,1.001877870906645,numeric
gT_s_9_av,-1.739459669982374,-2.8621643821472738,2.9691245440025997,8.815700557798646,-4.778566114857353,-3.85742138886326,0.3939369380057608,3.8043443261649794,-7.087009705870178,9.250749856175554,4.2513583268690205,0.970287471263161,0.2229515390492498,0.0,146.0,3.96888976986926e-06,,,,,186.0,48.4375,-0.07817239164282709,0.006110922815159543,1.006148495798413,numeric
gp_300_av,307.0666959484145,307.18240604813207,1.257603840866051,1.5815674205610437,305.19341470159446,306.0409089212533,307.97207951015264,308.9113692907158,303.6725266181617,309.9496682930956,1.9311705888993629,-0.13636069662566302,-0.7588528837560848,0.0,0.0,2.4079890447146334e-06,,,,,0.0,0.0,-0.26738353601428927,0.07149395533150472,1.0769989121148158,numeric
gp_500_av,240.0337904547231,239.91687268335187,0.9630896045170285,0.9275415863287665,238.80542537115863,239.25504905898688,240.78176748585238,241.6093255896963,236.27393990661778,242.20550022713724,1.5267184268655,-0.15074864797852255,0.06057253115065908,0.0,0.0,0.44727809978326993,,,,,0.0,0.0,-0.23957924821491453,0.05739821617522362,1.0608933880247076,numeric
gp_700_av,176.84108833111267,176.70842526393295,0.8668818220346278,0.7514840933740761,175.56675651061877,176.3775942502697,177.437884284703,178.295348497374,173.49847847504597,179.1096978792166,1.0602900344332795,-0.18140897095700412,0.9836482236582205,0.0,0.0,0.004703693007323072,,,,,0.0,0.0,-0.1221192286036719,0.014913105994755878,1.0151388736217177,numeric
gp_850_av,123.37096859305974,123.48278060047704,0.896633107690702,0.8039509298070862,121.79866906400468,122.83045084034663,123.91384039166618,124.65953320957333,119.69721933447849,125.82481117395629,1.0833895513195557,-0.4165780828590167,0.7318940424723026,0.0,0.0,0.0002935481468953041,,,,,0.0,0.0,-0.04800870848722837,0.0023048360906116738,1.002310160632212,numeric
gp_950_av,75.64345535758879,75.92108259814029,1.414584941322583,2.0010505562166157,73.19688865260207,74.64827666054296,76.5890469713645,77.87832692931968,71.07419889134788,79.41525546208959,1.9407703108215344,-0.29673369629992624,-0.26043060298452003,0.0,0.0,0.03330284547249597,,,,,0.0,0.0,-0.05331032327950087,0.002841990568164892,1.00285009049848,numeric
gp_m2s2_av,61.230365837314444,65.43389923325302,19.632777078806214,385.4459358260986,20.525957746381774,47.78766460784493,75.80575899078843,88.7339389076271,11.110606117191029,95.85327369131181,28.018094382943502,-0.563559701912877,-0.4561253432260606,0.0,0.0,7.235550316659174e-06,,,,,0.0,0.0,-0.29192634181136456,0.08522098904336566,1.0931601928144867,numeric
inidoy,235.24686233854166,229.626736,33.9087493131107,1149.803279979385,182.854167,212.64583349999998,258.769097,288.875,149.684028,289.0,46.12326350000001,0.14074354122057972,-0.7612597541265202,0.0,0.0,2.018933255194025e-06,,,,,0.0,0.0,0.20246903990075837,0.040993712118334885,1.042746030590566,numeric
rh_2m_av,5.699595384657525,5.570657981856203,1.2243367454566019,1.4990004662752638,3.924805726650586,4.744476696273354,6.432302398440948,8.048261414842264,2.978320733036426,9.142092229998386,1.6878257021675935,0.5013999595090746,-0.28414071473181846,0.0,0.0,0.00026840761468617763,,,,,0.0,0.0,-0.13305471076575706,0.01770355605695927,1.018022620529802,numeric
rh_300_av,6.025015174469789,5.783886920321037,2.2553953454670514,5.086808164354441,2.953783494540854,4.110706464822435,7.625584886025128,10.004012559150404,2.093933495978429,10.349866915703718,3.5148784212026927,0.32877408232834376,-0.9305511073914103,0.0,0.0,6.250613114526692e-14,,,,,0.0,0.0,-0.061000302536070306,0.0037210369094921054,1.0037349347395124,numeric
