variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
wv_300_av,-0.010755518178957712,0.012955614892012246,-0.062457998903666045,-0.04040709001769758,Relação Logarítmica
LCL_m_av,0.20855807438001459,0.25170977903561015,0.19179150981803625,0.23846765606435794,Relação Exponencial
duration_p,-0.42879688052011283,-0.46532142495978945,-0.42879688052011283,-0.46532142495978945,Relação Exponencial
rh_300_av,0.07402084396889508,0.054665309990187934,0.04728274800501571,0.023212181090091048,Relação Linear
Cin_av,0.036585276772792504,0.041570996058952335,-0.025705928796369085,-0.09268555875066789,Relação Potência
ros_p_lg1,0.38284685734161683,0.38025225492457343,0.3799319315076252,0.4100716334305121,Relação Potência
wsi_700_av,-0.11367696215666263,-0.129358028052606,-0.11367696215666263,-0.129358028052606,Relação Exponencial
wSv_7_av,-0.019736805819437767,-0.03913713233194965,-0.02841701574849633,-0.035239627864783477,Relação Exponencial
DC_12h_av,0.1245410276229248,0.14972037236724378,0.1245410276229248,0.14972037236724378,Relação Exponencial
gp_950_av,-0.06082594863127985,-0.062044512824106425,-0.05862450289856936,-0.05901305131503004,Relação Exponencial
BLH_m_rt,0.072819443130334,0.06927755752655496,0.014192969500726205,0.00897719435061427,Relação Linear
3_8y_fir_p,-0.019369138615400593,-0.03320865039627248,-0.004969831105656784,-0.024054521763268916,Relação Exponencial
sW_3m_av,-0.15214922572445044,-0.1715722714292237,-0.14949938140296679,-0.16829299530473177,Relação Exponencial
Haines_av,0.011396391758607561,0.017895749184399238,0.011396391758607561,0.017895749184399238,Relação Exponencial
rh_2m_av,-0.2253118966491258,-0.2802259895424091,-0.2360008151968176,-0.28339811402559195,Relação Potência
t_950_av,0.12280553134400686,0.15387183872207963,0.10976420340027784,0.1405248601476199,Relação Exponencial
VentIdx_av,0.10855985967679957,0.10328911117465318,0.15018793974834468,0.14862790974981163,Relação Logarítmica
f_load_av,0.04858259211158794,0.05430244732583812,0.05064244936817627,0.05872139828068545,Relação Potência
wv_850_av,0.08684430079333856,0.07957073093889272,0.08531337953926293,0.08159001134982483,Relação Linear
vwv_300_av,0.0020376103236991604,0.003690501287717367,0.0029749421274460914,0.004822046507532758,Relação Potência
