variable,corr_ros_p_model,corr_log_ros_p_model_log,Relation
gT_5_3_av,0.056990880896840415,0.1863471756587088,Relação Potência
wSv_9_av,0.03510625873709697,0.23617434655225641,Relação Potência
wSdir_9_av,0.08046921769676985,0.17211873509044442,Relação Potência
wSv_7_av,-0.019736805819437767,0.05405258750669065,Relação Potência
wSdir_7_av,-0.061000319888958036,-0.09874004114791962,Relação Potência
wSv_5_av,0.0446102578706353,0.12863198077351048,Relação Potência
wSdir_5_av,-0.11102182842688295,-0.1357053145660779,Relação Potência
wSv_1_av,0.10562575675598569,0.26110997634891353,Relação Potência
wSdir_1_av,0.04243104186127347,0.05027696173425131,Relação Potência
CBH_m_av,0.11986595338885492,0.114227130444235,Relação Linear
HigCC_p_av,0.10634770833776273,0.04946084763820561,Relação Linear
LowCC_p_av,-0.10671706644554592,-0.186506373436209,Relação Potência
MidCC_p_av,0.006565508752539617,-0.03529377459831473,Relação Potência
TotCC_p_av,0.09174236515832114,0.021355206477260077,Relação Linear
Cape_av,-0.07057799108595285,-0.29668064102662695,Relação Potência
Cin_av,0.036585276772792504,-0.1040468660153177,Relação Potência
BLH_m_av,0.25296154866353293,0.26101486912922395,Relação Potência
BLH_m_rt,0.072819443130334,0.036994049534133336,Relação Linear
LCL_hPa_av,-0.20569188502201982,-0.2838791871505363,Relação Potência
LCL_m_av,0.20855807438001459,0.2826841169353317,Relação Potência
LFC_hPa_av,0.0811025352097601,0.09245133543621614,Relação Potência
CCL_hPa_av,0.009655567153083895,-0.0870824598576083,Relação Potência
EL_m_av,0.18532100384672018,0.16368839754203748,Relação Linear
LiftIdx_av,-0.1936538320322947,-0.19471069166031552,Relação Potência
VentIdx_av,0.10855985967679957,0.1933607140214045,Relação Potência
CMLG_av,0.03373857284756199,0.0916852904538498,Relação Potência
ros_p_lg1,0.38284685734161683,0.5961092628111577,Relação Potência
f_start,-0.1487618448792191,-0.25829311885982276,Relação Potência
