,n,n_total,n_missing,pct_missing,pct_complete,mean,median,std,var,sem,cv,min,max,range,q01,q05,q10,q25,q75,q90,q95,q99,AIQ,qcd,skewness,kurtosis,n_zeros,pct_zeros,n_negative,pct_negative,n_positive,pct_positive,n_outliers,pct_outliers,normality_stat,normality_p,shapiro_stat,shapiro_p,n_unique,pct_unique,mode,mode_freq,mode_pct,mode2,mode2_freq,mode2_pct,entropy,max_entropy,rel_entropy,corr_ros_p,R2_ros_p,corr_n,corr_p_value,anova_p_value,VIF,corr_log_ros_p,R2_log_ros_p,corr_log_n,corr_log_ros_p_value,anova_log_ros_p_value,VIF_log_ros_p,var_type
sW_1m_av,765.0,765.0,0.0,0.0,100.0,0.18694529020501438,0.192586958157999,0.034945390839341686,0.0012211803409143457,0.0012634532722383776,18.692843666197028,0.041345925657534,0.313479434937238,0.27213350927970403,0.05621914235439437,0.1160916802971258,0.1372967706023574,0.175705834984121,0.209174139516197,0.2197210743304914,0.2258279027014972,0.26173613413993135,0.033468304532076,0.0869577706024514,-1.258302865829814,3.2796076372455816,0.0,0.0,0.0,0.0,765.0,100.0,62.0,8.104575163398692,192.8703883944434,1.3143992386830449e-42,0.8943647397647921,1.720300175255193e-22,,,,,,,,,,,,-0.11806937676141495,0.013940377728828952,765.0,0.0010688484105049693,,1.0141374592509127,-0.14682171058675156,0.021556614699619836,765.0,4.574662857011902e-05,,1.0220315401212527,numeric
sW_289_av,765.0,765.0,0.0,0.0,100.0,0.28166934782510056,0.296435546875003,0.06062497722503016,0.0036753878635354255,0.002191900677445233,21.523455673520626,0.050128214242183,0.38857421875,0.338446004507817,0.06910338816368908,0.1634840087890692,0.1785230102539054,0.264482421874995,0.323487758210165,0.3368342639163594,0.347844984875419,0.37962533499512463,0.05900533633517002,0.10035430083652176,-1.39183940333375,1.79679990262045,0.0,0.0,0.0,0.0,765.0,100.0,59.0,7.712418300653595,182.19751569689637,2.7309399973722436e-40,0.8702406500875326,1.0960837837960391e-24,,,,,,,,,,,,-0.15844062188129726,0.025103430662132213,765.0,1.0680089900944076e-05,,1.0257498399847504,-0.1744946839975495,0.030448394743404657,765.0,1.1996688902461066e-06,,1.03140461485322,numeric
sW_28_av,765.0,765.0,0.0,0.0,100.0,0.14861077610323978,0.155109703540802,0.028816728166015073,0.0008304038221940065,0.0010418710056482358,19.390739300086903,0.029212231235571,0.292911303043364,0.263699071807793,0.0500858326792146,0.0884904886331592,0.1101825463332384,0.141761428109398,0.162582101424537,0.1732220514757296,0.1785501653737812,0.2251603771114931,0.020820673315138982,0.06841174953521537,-0.8922769568840898,4.179706132937534,0.0,0.0,0.0,0.0,765.0,100.0,93.0,12.156862745098039,156.57607254101123,9.998569015315066e-35,0.8661452297571305,4.996144814214724e-25,,,,,,,,,,,,-0.06795714598674892,0.004618173690664304,765.0,0.06028540812823906,,1.004639600170105,-0.088331909150651,0.0078025261741988625,765.0,0.014528509344924391,,1.0078638843375736,numeric
sW_3m_av,765.0,765.0,0.0,0.0,100.0,0.24889285729911914,0.259806518145109,0.05067029232828721,0.0025674785246340816,0.001831988285430081,20.35827499356147,0.048838862116086,0.362589864489529,0.313751002373443,0.06251060136235397,0.141951462992032,0.1731511237389112,0.236343189152049,0.284524097586555,0.29318864675008416,0.30500711127663643,0.33928849769273856,0.04818090843450601,0.09250131398381617,-1.381677466166397,2.157975827755181,0.0,0.0,0.0,0.0,765.0,100.0,64.0,8.366013071895424,188.5241752457046,1.154769999952421e-41,0.8811198530599719,9.726615811062635e-24,,,,,,,,,,,,-0.15214922572445128,0.023149386888550026,765.0,2.378974037175914e-05,,1.0236979806101723,-0.17157227142922415,0.029437044323383368,765.0,1.8138305996321564e-06,,1.03032986593112,numeric
sW_7_av,765.0,765.0,0.0,0.0,100.0,0.10525071641395801,0.104235921988103,0.030675809048627475,0.0009410052607878553,0.001109086216812739,29.14546341706359,0.014653798612475,0.243338385224339,0.228684586611864,0.03334467723334704,0.0589541513222748,0.0671456415165664,0.086405058982659,0.123302726591257,0.1469295166591442,0.1593424477645376,0.18820057701097742,0.036897667608598,0.17594801026399007,0.4639257928523577,1.0309239564550876,0.0,0.0,0.0,0.0,765.0,100.0,19.0,2.4836601307189543,42.21384566640342,6.813650978823737e-10,0.9820828835717679,4.609362828069577e-08,,,,,,,,,,,,0.007290584054876912,5.3152615861225477e-05,765.0,0.8404479510151333,,1.000053155441212,-0.005942006387392126,3.530743990780882e-05,765.0,0.8696677879191993,,1.000035308686567,numeric
t_2m_C_av,765.0,765.0,0.0,0.0,100.0,26.23961224894836,26.12431326688925,5.5607871740309625,30.92235399486726,0.20105068458244132,21.192337452524015,13.845199272308935,39.105133056640625,25.25993378433169,15.268443376730216,17.82001887725389,18.8658389830634,21.53281210392367,30.51893228591238,33.75972290039063,35.10493774414062,38.37590454101563,8.98612018198871,0.17263821390284464,0.07496408553194904,-0.7732633201191463,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,55.44789083004273,9.112624810816547e-13,0.9860266609709418,1.1079678488357196e-06,,,,,,,,,,,,0.22453294340727764,0.050415042675135746,765.0,3.3752462336985967e-10,,1.0530916610317451,0.26516778413431774,0.07031395374270413,765.0,8.91478087671497e-14,,1.0756319340553426,numeric
t_300_av,765.0,765.0,0.0,0.0,100.0,-36.70628167305879,-36.66368103027344,2.091722764017197,4.375304121507742,0.07562639613799257,-5.6985416900793116,-43.59547180024127,-30.740020751953125,12.855451048288145,-42.12173510742188,-40.14689275360585,-38.997175769135566,-38.095428466796875,-35.58275935559208,-33.77814577927425,-32.99020800048856,-31.58325439453125,2.5126691112047936,-0.03410329685716369,0.003972010234523537,0.3484942205791115,0.0,0.0,765.0,100.0,0.0,0.0,21.0,2.7450980392156863,3.235997372471731,0.19829515305606596,0.9900244311708002,4.666012022292038e-05,,,,,,,,,,,,0.06638089451649835,0.004406423156810481,765.0,0.06650170973826079,,1.0044259256581207,0.0975446641876334,0.00951496151147817,765.0,0.006934332321774626,,1.0096063657114882,numeric
t_500_av,765.0,765.0,0.0,0.0,100.0,-9.048843682513569,-8.729685909186664,2.3659731481817645,5.59782893791713,0.08554193970361958,-26.146690463378075,-15.068256519287871,-2.347038107893145,12.721218411394727,-14.223966433615011,-14.000612190131827,-12.047472635464207,-10.578935225190625,-7.442947387695312,-6.563931159351134,-5.824609781901043,-3.5384338378906244,3.135987837495313,-0.17401000244297626,-0.319934483244616,0.10012780926244513,0.0,0.0,765.0,100.0,0.0,0.0,2.0,0.261437908496732,13.040343130318018,0.0014734162937673169,0.9737830075817766,1.7629921633329305e-10,,,,,,,,,,,,0.01561234770341196,0.00024374540081223268,765.0,0.666369220677215,,1.0002438048271174,0.03718314732474012,0.0013825864449733287,765.0,0.3043693653797538,,1.0013845006367867,numeric
t_700_av,765.0,765.0,0.0,0.0,100.0,8.698742005347395,9.086823077846772,2.776128546465809,7.706889706502365,0.10037113942471142,31.91413821399961,0.242111206054688,16.258270263671875,16.016159057617188,2.6210165140233617,3.9952242334850685,4.336377639702876,7.057500545396832,10.566329451994397,11.665399169921875,12.530663774532638,15.932478790105145,3.5088289065975653,0.19909570775007251,-0.21191650731550224,0.010696499196737541,0.0,0.0,0.0,0.0,765.0,100.0,15.0,1.9607843137254901,5.712368249844775,0.057487708173750166,0.9807025453695628,1.66401694328914e-08,,,,,,,,,,,,0.04131424444932059,0.001706866794418217,765.0,0.25373915377027517,,1.0017097851699504,0.06432055650517444,0.004137133989135338,765.0,0.0754119128211782,,1.0041543209716288,numeric
t_850_av,765.0,765.0,0.0,0.0,100.0,19.44070631330542,19.593597412109375,3.9565631098742147,15.654391642417517,0.1430498411355699,20.3519514471874,7.835932191485097,28.252970377604168,20.417038186119072,10.363068760331833,13.192206184101758,14.170984884053519,16.409171244270322,22.497161865234375,24.70168245899228,25.683923669077792,27.296431354747483,6.087990620964053,0.1564781395313961,-0.1303960631424417,-0.5820611519167715,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,23.982481734322292,6.1982667145885775e-06,0.9896402037815709,3.168615382203224e-05,,,,,,,,,,,,0.06554134248092215,0.0042956675742015305,765.0,0.07002204965790329,,1.0043141999430054,0.07744346945484516,0.0059974909612035355,765.0,0.032218024289588004,,1.0060336778898105,numeric
t_950_av,765.0,765.0,0.0,0.0,100.0,25.366600308065593,25.542236328125,4.984744288793349,24.847675624657917,0.18022381011281216,19.65081732772994,13.907501361585584,36.862019856770836,22.95451849518525,15.228629787616454,17.40312186271747,18.487599819785625,21.184071858723957,29.118206787109376,31.928442289158944,33.49729460612159,34.797042395387564,7.934134928385419,0.15772913557749185,-0.08131182819828171,-0.842054674776322,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,76.17309061755373,2.878879834463943e-17,0.9828579474003324,8.33048788088891e-08,,,,,,,,,,,,0.12280553134400697,0.015081198528683878,765.0,0.0006641374350916864,,1.0153121237061926,0.1538718387220796,0.023676542751713676,765.0,1.9164751982942168e-05,,1.024250715862594,numeric
vwv_300_av,765.0,765.0,0.0,0.0,100.0,0.006044631051085422,-0.002863702154943,0.09800124156779627,0.00960424334882956,0.0035432423666831273,1621.2940167820232,-0.275891836977475,0.774287104936306,1.050178941913781,-0.21167395120195637,-0.130748235107909,-0.08726913551525001,-0.043311712953154,0.047334961140258,0.11005160375348343,0.1587357051711906,0.3816380312906209,0.09064667409341201,22.530718931028957,1.6064173231871532,8.677667251150618,0.0,0.0,392.0,51.24183006535947,373.0,48.75816993464052,44.0,5.751633986928105,311.7128602541205,2.053110985096278e-68,0.8917422242483911,9.539995470665056e-23,,,,,,,,,,,,0.0020376103236991326,4.151855831245284e-06,765.0,0.9551303671736086,,1.0000041518730691,0.0036905012877175027,1.3619799754644547e-05,765.0,0.9188299732899635,,1.000013619985256,numeric
vwv_500_av,765.0,765.0,0.0,0.0,100.0,-0.009855041530088815,-0.014894882103468,0.07510305876806855,0.005640469436319958,0.002715356820356425,-762.0775472002675,-0.380183816041075,0.48436029628804,0.864544112329115,-0.16246239976180532,-0.1118309002902354,-0.08475542069314941,-0.049706371394583,0.018437162186201,0.06333131997367322,0.09980598333238618,0.26365882001733726,0.068143533580784,-2.179253499078496,1.1517878730313853,6.747493799729423,0.0,0.0,471.0,61.568627450980394,294.0,38.43137254901961,41.0,5.359477124183006,227.41779093252387,4.1386066923068576e-50,0.897250469344944,3.3338553637146634e-22,,,,,,,,,,,,-0.10151759510227949,0.01030582211535036,765.0,0.004946299719380809,,1.0104131380638994,-0.08702492322096125,0.007573337261614201,765.0,0.016056728631161473,,1.0076311303857126,numeric
vwv_700_av,765.0,765.0,0.0,0.0,100.0,0.001741669026185507,-0.008648488112566,0.10220615329304462,0.010446097770961336,0.003695271270957321,5868.287932804894,-1.092870321791779,0.512385840502918,1.605256162294697,-0.20852901800222184,-0.1216275721514882,-0.08090001295376979,-0.045515131510733,0.053766418134927,0.11017012795574901,0.16009533943498552,0.24736475488771742,0.09928154964566,12.03225074675647,-1.8858439043916102,22.67110852054958,0.0,0.0,418.0,54.64052287581699,347.0,45.35947712418301,25.0,3.2679738562091507,430.55939396707515,3.20048307036889e-94,0.8384818086345251,3.825629178201872e-27,,,,,,,,,,,,0.004267810689695737,1.82142080830812e-05,765.0,0.9061870469866876,,1.0000182145398466,-0.020681363400049547,0.00042771879208490895,765.0,0.5679020614362791,,1.0004279018137319,numeric
vwv_850_av,765.0,765.0,0.0,0.0,100.0,-0.027895141836009597,-0.028038513166306,0.12595444484004953,0.015864522174965076,0.00455389256390777,-451.5282466764734,-0.580939253174786,0.517970097594614,1.0989093507694,-0.3481652379901018,-0.2393449838752674,-0.1775776895274894,-0.094033734186223,0.045889312633985,0.1215841861648486,0.1651340657875526,0.2815997088526047,0.139923046820208,-2.906318994161924,-0.14999242511750704,1.6677979330788113,0.0,0.0,451.0,58.954248366013076,314.0,41.045751633986924,27.0,3.5294117647058822,34.041786609463045,4.054338081984787e-08,0.9839601783371414,1.9845762516656737e-07,,,,,,,,,,,,0.02285058084694151,0.0005221490450426101,765.0,0.5279981855930023,,1.0005224218271007,0.00671782354589785,4.512915319381956e-05,765.0,0.8528336812956131,,1.000045131189926,numeric
vwv_950_av,765.0,765.0,0.0,0.0,100.0,-0.03989148634175837,-0.015260833909014,0.10849140212744135,0.011770384335578185,0.003922514922148963,-271.9663067903104,-0.51633717963991,0.289818526686177,0.806155706326087,-0.41554573438424414,-0.2432293740429196,-0.17910439829472177,-0.092637217125331,0.025600592005315,0.07648594328024964,0.11142819806417756,0.15252155278737614,0.11823780913064601,-1.763779261246584,-1.0850587568550918,2.123493257046587,0.0,0.0,466.0,60.91503267973856,299.0,39.08496732026144,26.0,3.3986928104575163,145.62662224256016,2.3855074154703345e-32,0.936169484111675,1.4216522524049192e-17,,,,,,,,,,,,0.06678061065191912,0.004459649959043213,765.0,0.06487750795463555,,1.004479627529773,0.07511379009228257,0.005642081462027488,765.0,0.0377939483284695,,1.0056740951691954,numeric
