,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
f_load_av,5.201083160153608,0.007944830711225565,0.0010725266568379812,0.08913377985492124,0.03274945277158049,25.455404241295078,,1.7174825516988066,34.67,,18.761829022890947,18.19396505376344,0.0,,,,,,,3355,0,0.0,3341.0,3355,,14.0,2.0253291441096239e-41,187.40051317020914,100.0,0.0,0.0,99.58271236959762,,0.4172876304023845,16.57756351216517,21.77864667231878,34.67,,0.08245346477462372,1.5342490574771394e-28,0.9628471626803258,-0.31986026909774723,4.775899420837512,22.809215277956085,1.001073678205334,numeric
f_start,2392.5,0.004839677953134103,0.025129537217436337,-0.06956779393608872,-0.1585229864008256,127.57553752636899,,6.877603502798783,15300.0,,1788.3209366391184,1050.0,0.0,,,,,,,2178,1177,0.0,1839.0,3355,,339.0,1.220619137728654e-229,1054.1852561513585,64.91803278688525,35.08196721311476,0.0,54.81371087928465,,10.104321907600596,180.0,2572.5,15300.0,,48.88593547496996,3.4004494972357235e-49,0.752493291843578,2.2657783850587845,2281.4600476139517,5205059.948858654,1.0257773090649493,numeric
fid,56.0,0.005017060324995771,0.001815035676276834,0.07083121010540319,0.042603235514181714,65.68196171689655,,-0.6056481058357455,164.0,,69.57138599105812,47.0,1.0,,,,,,,3355,0,0.0,3355.0,3355,,0.0,8.128242009938493e-85,387.24877647851247,100.0,0.0,0.0,100.0,,0.0,37.0,93.0,163.0,,0.788915535703489,6.6641799633216994e-46,0.874458875945808,0.790697424793387,45.69585111256113,2088.110808901354,1.0018183360210264,numeric
fire_rank,2.0,0.16782557839676773,0.05709093700616106,0.4096652028141611,0.23893709843002836,-882.3982790224294,,0.7578072410875465,3.0,,-0.21788375558867362,-1.0,-5.0,,,,,,,3355,0,1915.0,1440.0,3355,,0.0,3.1350074138456946e-54,246.39392696546665,100.0,0.0,57.07898658718331,42.92101341281669,,0.0,-1.0,1.0,8.0,,0.03319275058597849,1.0139840730982126e-49,0.8414665702505449,-0.6549705694744348,1.9226025095838926,3.696400409858282,1.060547659627845,numeric
fuel_model,,,0.01673490031986106,,0.12936344274895076,,2.7280951845350434,,,3.700439718141092,,,,223.0,233.0,935.0,27.86885245901639,963.0,28.70342771982116,3355,0,,,3355,13.0,,,,100.0,0.0,,,0.38748137108792846,,,,,0.7372354077708084,,,,,,,1.0170197236994427,categorical
gT_5_3_av,0.6413279771519891,0.024812345065222095,0.039150147419558474,0.15751934822497868,0.19786396190200597,-6.288772949534847,,-0.14421873992748457,-5.637933872421527,,-7.633393191604832,-7.656030995764154,-8.748665793179219,,,,,,,1698,1657,1698.0,0.0,3355,,0.0,1.9006073811059235e-07,30.951844283209162,50.61102831594635,49.38897168405365,50.61102831594635,0.0,,0.0,-7.978211564110793,-7.336883586958804,3.110731920757692,,0.011649699028696505,1.5347190474506667e-13,0.9824995228934795,0.3292470507428962,0.48004676616527947,0.2304448977057425,1.040745333221853,numeric
gT_7_5_av,1.207618751414011,0.003104059570888025,0.0014377282713846202,0.05571408772373487,0.037917387454631156,-12.437896141525467,,0.028636870977888584,-3.875418979267315,,-7.0953096422373,-7.0714913078966175,-9.928279698771762,,,,,,,1698,1657,1698.0,0.0,3355,,0.0,0.09748351116143567,4.656144063146152,50.61102831594635,49.38897168405365,50.61102831594635,0.0,,0.0,-7.737663881624435,-6.530045130210424,6.052860719504447,,0.02141654628349411,2.0766476884707715e-05,0.9950492441011317,-0.12710410692390392,0.8825072442211176,0.7788190361027513,1.0014397983101202,numeric
gT_8_7_av,2.3392184639094307,0.003563829405474191,0.01827118689437024,-0.05969781742638663,-0.1351709543295831,-20.451063344358364,,-0.19373700617752787,-1.108163674696976,,-7.43499893109089,-7.523687500841307,-10.50444583809944,,,,,,,1698,1657,1698.0,0.0,3355,,0.0,1.6288285257238072e-15,68.10183066870533,50.61102831594635,49.38897168405365,50.61102831594635,0.0,,0.0,-8.750485061800148,-6.411266597890718,9.396282163402462,,0.03690013553664134,6.148415014283184e-18,0.971207964242186,0.5049146675666675,1.5205363410497652,2.312030764453008,1.0186112362706057,numeric
gT_9_8_av,4.575430665514862,0.03780049197821639,0.025013608443799247,-0.19442348617956728,-0.15815691083161446,-45.81983645037278,,-0.1424603159026181,3.733216701720574,,-6.431837994664966,-6.771339243768603,-11.005256550335062,,,,,,,1698,1657,1644.0,54.0,3355,,0.0,3.103984413371178e-24,108.2587113020284,50.61102831594635,49.38897168405365,49.00149031296572,1.609538002980626,,0.0,-9.077221327949761,-4.5017906624349,14.738473252055636,,0.07151872913529886,5.587528872235871e-24,0.9482885080940147,0.6699822161282405,2.947057649908424,8.685148791883764,1.0256553411005813,numeric
gT_s_9_av,992.6105219253214,0.035582988917046574,0.04532202355601327,0.18863453797501287,0.2128896980974262,-84.97854747976533,,-1.8993707001291646,80.6936222205114,,-579.0343976642486,-999.0,-999.0,,,,,,,1698,1657,1442.0,256.0,3355,,0.0,0.0,6578.582734059137,50.61102831594635,49.38897168405365,42.9806259314456,7.630402384500745,,0.0,-999.0,-6.389478074678579,1079.6936222205113,,11.941113447506789,7.544815719421219e-51,0.6378095090668267,0.31853270690037333,492.0550205432867,242118.14324185427,1.047473624273632,numeric
