variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
wcos100_av,-0.124811995486917,-0.09436231129449987,-0.12711157466498782,-0.09850199498142488,Relação Logarítmica
wSv_5_av,-0.011864568408568529,0.010957954113427018,0.012835453505516401,0.04459299523522594,Relação Potência
FFMC_12h_a,0.09107637540745893,0.10840000045457675,0.08950332439472214,0.10596125947109893,Relação Exponencial
3_8y_fir_p,-0.027662245891735465,-0.03677452581562173,0.012000106020703914,-0.006350588704430031,Relação Exponencial
ros_p_lg1,0.4468926914589214,0.42841702257218617,0.41466052029583716,0.45943975910530094,Relação Potência
BLH_m_av,0.2956113773388386,0.3760125089393473,0.26181730449624524,0.353117371154216,Relação Exponencial
wSv_1_av,0.1432851825362075,0.09880646247191648,0.1492415473267384,0.12313479223889451,Relação Logarítmica
wco_700_av,-0.06796871579284419,-0.04978118566269662,-0.06886585455985858,-0.05293568070613349,Relação Logarítmica
wv100_k_av,0.25622405997716746,0.26142401644524316,0.27014397347553526,0.31406948878812957,Relação Potência
sW_100_av,-0.07043553060114796,-0.10282765604465273,-0.06920777018568053,-0.10104355987582007,Relação Exponencial
wv_700_av,0.0940379090040948,0.09674960454800978,0.11517796849977792,0.11418157481658883,Relação Logarítmica
wv_300_av,0.0028906805427642165,0.020683281083311,-0.06946467138720533,-0.04658942989976078,Relação Logarítmica
wScos_9_av,0.05580667147372245,0.06049239440477565,0.051922305137580206,0.05689379819603221,Relação Exponencial
HigCC_p_av,0.09496560364486684,0.1355926648875753,0.046591013336151156,0.08699739801617405,Relação Exponencial
wScos_5_av,0.10174507823077586,0.11008860953004924,0.10174373704735738,0.1100871021819129,Relação Exponencial
wScos_1_av,0.05296779740817597,0.03756987619368865,0.05165173246234725,0.03605840303594527,Relação Linear
gp_850_av,-0.012319801556977995,-0.003391994906385927,-0.011292025763473962,-0.0018946450310388047,Relação Linear
wcos10_av,-0.12501512736802772,-0.10037854003630367,-0.1252888406519538,-0.10044283381033774,Relação Logarítmica
rh_300_av,0.037486723763171005,0.05825440343936399,0.020403394046716167,0.02674738941281063,Relação Exponencial
wv_950_av,0.1994698204073644,0.17325619521019728,0.23356008210910123,0.25417037369756623,Relação Potência
sW_3m_av,-0.09695369554608202,-0.11729248717565233,-0.09426457959210643,-0.11403573231228366,Relação Exponencial
Recirc,-0.21191193911150608,-0.32859697354788325,-0.22063286542255764,-0.3346846073987375,Relação Potência
wSv_7_av,-0.020311516620827794,-0.031405189157751624,-0.021626255880425504,-0.010630606870967767,Relação Exponencial
aspect_sin,-0.05472784753118288,-0.008829450392168358,-0.05869527008206472,-0.012043320556538926,Relação Logarítmica
t_2m_C_av,0.26405078342335464,0.35611202550913534,0.24679045203100047,0.3411581348704205,Relação Exponencial
wsin100_av,-0.07964092236411023,-0.16366916505657206,-0.08791316777626496,-0.1719593760889862,Relação Potência
wScos_7_av,0.05262572142128418,0.02700032827520973,0.052616992721441415,0.02699238144593431,Relação Linear
t_950_av,0.16320614149709967,0.2072242868558177,0.14823261045309985,0.19036034568859267,Relação Exponencial
dfmc_av,-0.2833114675525437,-0.3887200094504805,-0.3018515548188204,-0.39869737030135344,Relação Potência
LowCC_p_av,-0.08140819689911816,-0.10767081486147986,-0.10907522379257852,-0.15648384389319578,Relação Potência
wSv_9_av,0.04035493339809503,0.0270314766491136,0.0509731474841347,0.036852392579251866,Relação Logarítmica
wv_850_av,0.08570572271718223,0.09496608807874099,0.08760030026441931,0.09508348690963432,Relação Potência
gp_500_av,0.039824724967385323,0.05608097410423934,0.04026578393363238,0.056708740774974134,Relação Potência
wco_950_av,-0.10451939395117689,-0.06325877555241344,-0.10829980079455513,-0.06768485806395182,Relação Logarítmica
gT_9_8_av,-0.10799790958584703,-0.1942553454830167,-0.05340997412495531,-0.11815902962899077,Relação Exponencial
BLH_m_rt,-0.14247284687026943,-0.18180286163660223,-0.12531458933123935,-0.20774667081219783,Relação Potência
